Giocatore,Squadra,Ruolo,Q,PG,G,A,AM,ES,RT,RR,RS,RP,MV,MM,MP
Acampora G.,Spezia,C,4,9,-,-,2,-,-,-,-,-,5.55,5.44,-1
Acerbi F.,Lazio,D,13,32,-,1,7,1,-,-,-,-,6.04,5.93,-3.5
Agoume L.,Spezia,C,7,10,-,-,2,-,-,-,-,-,6.2,6.1,-1
Agudelo K.,Spezia,C,12,27,1,1,4,-,-,-,-,-,6.01,6.12,2.9
Akpa Akpro J.,Lazio,C,5,25,-,1,9,-,-,-,-,-,5.66,5.52,-3.5
Alex Sandro L.,Juventus,D,18,24,2,1,2,-,-,-,-,-,6,6.29,7
Alia M.,Lazio,P,1,-,-,-,-,-,-,-,-,-,-,-,-
Alves B.,Parma,D,11,19,1,-,3,-,-,-,-,-,5.68,5.84,3.1
Amione B.,Verona,D,2,-,-,-,-,-,-,-,-,-,-,-,-
Amrabat S.,Fiorentina,C,12,29,-,-,7,-,-,-,-,-,5.91,5.79,-3.5
Anderson D.,Lazio,C,3,2,-,-,-,-,-,-,-,-,5.25,5.25,-
Ansaldi C.,Torino,D,16,25,1,5,1,-,1,1,-,-,6.05,6.4,9.1
Antei L.,Benevento,D,3,-,-,-,-,-,-,-,-,-,-,-,-
Antov V.,Bologna,D,6,4,-,-,1,-,-,-,-,-,5.87,5.75,-0.5
Aresti S.,Cagliari,P,1,-,-,-,-,-,-,-,-,-,-,-,-
Armini N.,Lazio,D,1,-,-,-,-,-,-,-,-,-,-,-,-
Arslan T.,Udinese,C,13,28,3,-,9,-,-,-,-,-,5.92,6.19,7.5
Arthur -.,Juventus,C,16,19,1,-,3,-,-,-,-,-,5.81,5.94,2.5
Asamoah K.,Cagliari,D,7,7,-,-,-,-,-,-,-,-,5.57,5.57,-
Askildsen K.,Sampdoria,C,4,3,-,-,1,-,-,-,-,-,6,5.83,-0.5
Audero E.,Sampdoria,P,20,37,-,1,-,-,-,-,-,2,6.32,5.05,-46.9
Augello T.,Sampdoria,D,12,37,1,3,2,1,-,-,-,-,5.9,6.05,5.6
Avogadri L.,Sampdoria,P,1,-,-,-,-,-,-,-,-,-,-,-,-
Ayhan K.,Sassuolo,D,8,13,-,-,2,-,-,-,-,-,5.73,5.65,-1
Badelj M.,Genoa,C,15,29,1,2,7,-,-,-,-,-,6.12,6.2,2.3
Bakayoko T.,Napoli,C,15,26,2,-,4,1,-,-,-,-,6.05,6.25,5.2
Baldursson A.,Bologna,C,1,4,-,-,1,-,-,-,-,-,5.7,5.5,-1
Balogh B.,Parma,D,1,2,-,-,1,-,-,-,-,-,5.5,5.33,-0.5
Bani M.,Parma,D,8,26,-,-,10,-,-,-,-,-,5.73,5.53,-5.2
Barak A.,Verona,C,21,34,7,3,5,1,-,-,-,-,6.14,6.95,27.5
Barba F.,Benevento,D,6,31,-,2,8,-,-,-,-,-,5.74,5.61,-4
Barella N.,Inter,C,24,36,3,4,5,-,-,-,-,-,6.52,6.9,13.7
Barreca A.,Fiorentina,D,5,2,-,-,-,-,-,-,-,-,5.75,5.75,-
Barrow M.,Bologna,A,21,38,8,8,-,-,1,-,1,-,5.76,6.52,28.9
Baselli D.,Torino,C,11,10,-,-,2,-,-,-,-,-,5.8,5.7,-1
Bastoni A.,Inter,D,15,33,-,2,6,-,-,-,-,-,6.13,6.1,-1
Bastoni S.,Spezia,D,10,21,1,6,7,-,-,-,-,-,6.02,6.35,7
Behrami V.,Genoa,C,7,21,-,-,1,1,-,-,-,-,5.75,5.68,-1.5
Belotti A.,Torino,A,30,34,13,6,4,-,5,4,1,-,6.29,7.47,40.1
Benali A.,Crotone,C,12,17,-,1,2,-,-,-,-,-,5.94,5.94,-
Benassi M.,Verona,C,13,-,-,-,-,-,-,-,-,-,-,-,-
Bennacer I.,Milan,C,12,21,-,1,4,-,-,-,-,-,5.95,5.9,-1.1
Bentancur R.,Juventus,C,12,31,-,3,6,1,-,-,-,-,5.93,5.9,-0.9
Berardi A.,Verona,P,3,1,-,-,-,-,-,-,-,-,6.5,6.5,-
Berardi D.,Sassuolo,T (A),39,30,17,7,4,-,8,7,1,-,6.45,8.21,52.8
Bereszynski B.,Sampdoria,D,12,31,1,-,2,-,-,-,-,-,5.95,6.06,3.4
Bernardeschi F.,Juventus,T (C),12,20,-,2,2,-,-,-,-,-,5.75,5.8,1
Bessa D.,Verona,T (C),11,13,-,2,1,-,-,-,-,-,6,6.11,1.4
Biraghi C.,Fiorentina,D,12,35,1,5,8,-,-,-,-,-,5.85,6.01,5.6
Biraschi D.,Genoa,D,7,13,-,-,2,-,-,-,-,-,5.65,5.57,-1.1
Boer P.,Roma,P,1,-,-,-,-,-,-,-,-,-,-,-,-
Boga J.,Sassuolo,T (A),23,26,4,1,-,-,-,-,-,-,5.88,6.38,13
Bonaventura G.,Fiorentina,C,17,32,3,2,5,-,-,-,-,-,5.87,6.23,11.6
Bonazzoli F.,Torino,A,16,15,2,3,1,-,-,-,-,-,5.76,6.33,8.6
Bonifazi K.,Udinese,D,9,28,-,-,4,-,-,-,-,-,5.89,5.82,-1.9
Bonucci L.,Juventus,D,16,25,2,-,3,-,-,-,-,-,5.9,6.2,7.5
Borja Valero I.,Fiorentina,C,11,9,-,-,3,-,-,-,-,-,5.85,5.7,-1.5
Bourabia M.,Sassuolo,C,10,11,1,-,1,-,-,-,-,-,6,6.31,3.4
Braaf J.,Udinese,T (A),5,4,1,-,-,-,-,-,-,-,5.87,6.62,3
Brancolini F.,Fiorentina,P,1,-,-,-,-,-,-,-,-,-,-,-,-
Bremer G.,Torino,D,21,33,5,-,2,-,-,-,-,-,6.21,6.86,21.5
Breza S.,Bologna,P,1,-,-,-,-,-,-,-,-,-,-,-,-
Brozovic M.,Inter,C,18,33,2,6,7,1,-,-,-,-,6.03,6.31,9.2
Brugman G.,Parma,C,13,24,1,1,7,-,-,-,-,-,6.08,6.14,1.5
Brunetta J.,Parma,T (C),13,11,1,2,3,-,-,-,-,-,5.59,6,4.5
Buffon G.,Juventus,P,11,8,-,-,-,-,-,-,-,1,6.5,6.25,-2
Buongiorno A.,Torino,D,4,12,-,-,4,-,-,-,-,-,6,5.83,-2
Busi M.,Parma,D,5,19,-,1,3,-,-,-,-,-,5.34,5.31,-0.6
Caceres M.,Fiorentina,D,12,26,2,1,4,-,-,-,-,-,5.67,5.98,8.1
Caicedo F.,Lazio,A,23,22,8,-,5,-,1,1,-,-,6.18,7.15,21.3
Calabresi A.,Cagliari,D,3,1,-,-,-,-,-,-,-,-,6,6,-
Calabria D.,Milan,D,15,31,2,1,7,-,-,-,-,-,6.3,6.45,4.7
Calafiori R.,Roma,D,1,2,-,-,2,-,-,-,-,-,5.25,4.75,-1
Caldara M.,Atalanta,D,9,3,-,-,1,-,-,-,-,-,5.66,5.5,-0.5
Caldirola L.,Benevento,D,9,21,2,-,4,1,-,-,-,-,5.71,6,6.1
Calhanoglu H.,Milan,T (C),24,33,4,9,4,-,1,1,-,-,6.16,6.86,23.1
Callejon J.,Fiorentina,T (C),14,13,-,1,-,-,-,-,-,-,5.46,5.53,0.9
Candreva A.,Sampdoria,C,21,33,5,7,1,-,2,2,-,-,6.01,6.81,26.4
Capradossi E.,Spezia,D,4,1,-,-,-,-,-,-,-,-,7,7,-
Caprari G.,Benevento,T (A),16,29,5,6,3,1,1,-,1,-,5.82,6.36,15.6
Caputo F.,Sassuolo,A,32,24,11,3,1,-,3,3,-,-,5.91,7.39,35.6
Carboni A.,Cagliari,D,6,14,-,1,2,-,-,-,-,-,5.71,5.71,-
Caso G.,Genoa,T (A),2,1,-,-,-,-,-,-,-,-,6.5,6.5,-
Cassata F.,Genoa,C,6,5,-,-,2,-,-,-,-,-,5.5,5.3,-1
Castillejo S.,Milan,T (C),13,24,1,-,3,-,-,-,-,-,5.87,5.97,2.4
Castrovilli G.,Fiorentina,C,16,32,5,3,8,1,-,-,-,-,5.85,6.42,18.2
Cataldi D.,Lazio,C,7,13,-,-,4,-,-,-,-,-,5.46,5.3,-2.1
Ceccherini F.,Verona,D,10,27,-,-,10,-,-,-,-,-,5.98,5.72,-7.1
Ceppitelli L.,Cagliari,D,11,19,-,-,3,-,-,-,-,-,6.05,5.97,-1.6
Cerri A.,Cagliari,A,10,11,1,-,1,-,-,-,-,-,5.81,6.04,2.5
Cetin M.,Verona,D,4,5,-,-,1,-,-,-,-,-,5.75,5.66,-0.5
Chabot J.,Spezia,D,6,22,1,1,9,1,-,-,-,-,5.56,5.56,-
Chiellini G.,Juventus,D,13,16,-,-,4,-,-,-,-,-,6.09,5.84,-4
Chiesa F.,Juventus,T (C),31,30,9,5,3,1,-,-,-,-,6.41,7.7,38.7
Chiriches V.,Sassuolo,D,11,23,2,1,6,-,-,-,-,-,5.73,5.95,5.1
Cigarini L.,Crotone,C,9,13,-,-,3,1,-,-,-,-,6.11,5.92,-2.4
Cleonise D.,Genoa,T (A),1,-,-,-,-,-,-,-,-,-,-,-,-
Colley E.,Verona,T (A),11,18,1,-,1,-,-,-,-,-,5.91,6.05,2.5
Colley O.,Sampdoria,D,14,29,2,-,6,-,-,-,-,-,6.01,6.22,6.1
Colombi S.,Parma,P,1,2,-,-,-,-,-,-,-,-,6.25,2.75,-7
Consigli A.,Sassuolo,P,20,37,-,-,1,-,-,-,-,1,6.37,4.93,-53.3
Conti A.,Parma,D,9,9,-,-,3,-,-,-,-,-,5.44,5.27,-1.6
Contini N.,Napoli,P,2,-,-,-,-,-,-,-,-,-,-,-,-
Cordaz A.,Crotone,P,5,36,-,-,1,-,-,-,-,-,6.06,3.52,-91.5
Cornelius A.,Parma,A,15,29,1,4,4,-,-,-,-,-,5.63,5.81,5.2
Correa C.,Lazio,T (A),27,28,8,3,1,1,1,1,-,-,5.91,6.82,25.5
Cragno A.,Cagliari,P,20,34,-,-,1,-,-,-,-,-,6.35,4.77,-53.7
Crespi G.,Crotone,P,3,1,-,-,-,-,-,-,-,-,7,7,-
Criscito D.,Genoa,D,17,22,1,-,6,-,1,1,-,-,6.04,6.11,1.5
Cristante B.,Roma,C,14,31,1,1,7,-,-,-,-,-,6.01,6,-0.3
Cuadrado J.,Juventus,D,23,29,2,9,9,1,1,1,-,-,6.32,6.75,12.5
